YEAR;MONTH;DAY_OF_WEEK;FL_DATE;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN;ORIGIN_CITY_NAME;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST;DEST_CITY_NAME;DEP_DELAY_NEW;ARR_DELAY_NEW;CANCELLED;AIR_TIME;DISTANCE;CARRIER_DELAY;WEATHER_DELAY;NAS_DELAY;SECURITY_DELAY;LATE_AIRCRAFT_DELAY
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;0;0;0;62;479;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;17;18;0;60;479;17;0;1;0;0
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;15016;1501606;31123;STL;St. Louis, MO;0;0;0;192;1708;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10397;1039707;30397;ATL;Atlanta, GA;1;0;0;103;666;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10397;1039707;30397;ATL;Atlanta, GA;0;0;0;112;666;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10693;1069302;30693;BNA;Nashville, TN;0;0;0;113;675;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10693;1069302;30693;BNA;Nashville, TN;51;38;0;107;675;3;0;0;0;35
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10693;1069302;30693;BNA;Nashville, TN;0;0;0;108;675;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11259;1125904;30194;DAL;Dallas, TX;0;14;0;224;1295;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11292;1129202;30325;DEN;Denver, CO;4;0;0;220;1558;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11292;1129202;30325;DEN;Denver, CO;1;0;0;223;1558;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11292;1129202;30325;DEN;Denver, CO;1;0;0;218;1558;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11697;1169706;32467;FLL;Fort Lauderdale, FL;0;12;0;140;992;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;12191;1219102;31453;HOU;Houston, TX;0;13;0;221;1336;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13204;1320402;31454;MCO;Orlando, FL;11;0;0;119;861;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13204;1320402;31454;MCO;Orlando, FL;24;8;0;129;861;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13204;1320402;31454;MCO;Orlando, FL;0;0;0;125;861;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13204;1320402;31454;MCO;Orlando, FL;0;0;0;129;861;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13232;1323202;30977;MDW;Chicago, IL;0;0;0;104;668;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13232;1323202;30977;MDW;Chicago, IL;10;0;0;107;668;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13232;1323202;30977;MDW;Chicago, IL;0;0;0;109;668;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;13232;1323202;30977;MDW;Chicago, IL;0;0;0;105;668;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;14107;1410702;30466;PHX;Phoenix, AZ;1;0;0;297;2075;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;15016;1501606;31123;STL;St. Louis, MO;0;0;0;121;814;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;15016;1501606;31123;STL;St. Louis, MO;0;0;0;121;814;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;15016;1501606;31123;STL;St. Louis, MO;0;0;0;123;814;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;15304;1530402;33195;TPA;Tampa, FL;6;3;0;141;920;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10140;1014005;30140;ABQ;Albuquerque, NM;5;0;0;51;328;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10140;1014005;30140;ABQ;Albuquerque, NM;0;0;0;48;328;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10140;1014005;30140;ABQ;Albuquerque, NM;4;0;0;46;328;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10140;1014005;30140;ABQ;Albuquerque, NM;0;0;0;48;328;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10140;1014005;30140;ABQ;Albuquerque, NM;24;16;0;50;328;3;0;0;0;13
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10397;1039707;30397;ATL;Atlanta, GA;0;0;0;171;1587;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10397;1039707;30397;ATL;Atlanta, GA;0;0;0;175;1587;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10397;1039707;30397;ATL;Atlanta, GA;25;5;0;176;1587;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10423;1042302;30423;AUS;Austin, TX;0;0;0;106;872;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10423;1042302;30423;AUS;Austin, TX;12;0;0;105;872;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10423;1042302;30423;AUS;Austin, TX;0;0;0;106;872;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10423;1042302;30423;AUS;Austin, TX;2;0;0;109;872;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10423;1042302;30423;AUS;Austin, TX;0;0;0;106;872;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10693;1069302;30693;BNA;Nashville, TN;0;0;0;154;1449;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10693;1069302;30693;BNA;Nashville, TN;11;0;0;156;1449;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10693;1069302;30693;BNA;Nashville, TN;4;0;0;154;1449;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10693;1069302;30693;BNA;Nashville, TN;4;0;0;157;1449;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10713;1071302;30713;BOI;Boise, ID;0;0;0;111;735;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10792;1079206;30792;BUF;Buffalo, NY;0;0;0;207;1912;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10800;1080003;32575;BUR;Burbank, CA;9;0;0;67;369;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10800;1080003;32575;BUR;Burbank, CA;11;0;0;73;369;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10800;1080003;32575;BUR;Burbank, CA;7;5;0;70;369;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10800;1080003;32575;BUR;Burbank, CA;0;0;0;68;369;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10800;1080003;32575;BUR;Burbank, CA;0;0;0;70;369;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10800;1080003;32575;BUR;Burbank, CA;0;0;0;76;369;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10800;1080003;32575;BUR;Burbank, CA;0;0;0;70;369;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10821;1082106;30852;BWI;Baltimore, MD;3;0;0;211;1999;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;10821;1082106;30852;BWI;Baltimore, MD;8;0;0;217;1999;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11042;1104205;30647;CLE;Cleveland, OH;6;0;0;198;1737;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11066;1106606;31066;CMH;Columbus, OH;1;0;0;190;1670;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11259;1125904;30194;DAL;Dallas, TX;0;0;0;115;879;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11259;1125904;30194;DAL;Dallas, TX;0;0;0;108;879;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11259;1125904;30194;DAL;Dallas, TX;0;0;0;115;879;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11259;1125904;30194;DAL;Dallas, TX;0;0;0;110;879;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11259;1125904;30194;DAL;Dallas, TX;10;0;0;116;879;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;57;49;0;80;602;25;0;0;0;24
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;0;0;0;77;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;0;0;0;79;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;0;9;0;90;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;0;0;0;86;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;0;0;0;82;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;0;0;0;81;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;2;5;0;93;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;11;0;0;77;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11292;1129202;30325;DEN;Denver, CO;21;2;0;78;602;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11433;1143302;31295;DTW;Detroit, MI;0;0;0;198;1671;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11540;1154005;30615;ELP;El Paso, TX;0;0;0;51;347;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11540;1154005;30615;ELP;El Paso, TX;0;0;0;52;347;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11697;1169706;32467;FLL;Fort Lauderdale, FL;6;0;0;216;1972;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;11884;1188402;31884;GEG;Spokane, WA;24;16;0;145;1020;11;0;0;0;5
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12191;1219102;31453;HOU;Houston, TX;0;0;0;119;1020;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12191;1219102;31453;HOU;Houston, TX;11;12;0;127;1020;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12191;1219102;31453;HOU;Houston, TX;0;0;0;122;1020;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12191;1219102;31453;HOU;Houston, TX;6;2;0;129;1020;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12191;1219102;31453;HOU;Houston, TX;0;0;0;122;1020;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12278;1227805;30928;ICT;Wichita, KS;0;0;0;107;870;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12339;1233904;32337;IND;Indianapolis, IN;1;0;0;164;1488;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12339;1233904;32337;IND;Indianapolis, IN;1;0;0;166;1488;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12889;1288903;32211;LAS;Las Vegas, NV;24;20;0;51;255;2;0;0;0;18
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12889;1288903;32211;LAS;Las Vegas, NV;10;0;0;46;255;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12889;1288903;32211;LAS;Las Vegas, NV;56;54;0;51;255;0;0;0;0;54
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12889;1288903;32211;LAS;Las Vegas, NV;0;0;0;48;255;;;;;
2020;1;3;1/01/20;14107;1410702;30466;PHX;Phoenix, AZ;12889;1288903;32211;LAS;Las Vegas, NV;0;0;0;44;255;;;;;
